Address,Price,Links,Dates,Details
"15354 W 64th Lane Unit 101, Arvada, CO 80007","$425,000 ",https://www.zillow.com/homedetails/15354-W-64th-Ln-UNIT-101-Arvada-CO-80007/295313800_zpid/,Open: Sun. 1:30-3:30pm From 2023-08-24,"1 bd1 ba1,384 sqft"
"6495 Quitman Street, Arvada, CO 80003","$595,000 ",https://www.zillow.com/homedetails/6495-Quitman-St-Arvada-CO-80003/13025379_zpid/,37 days on Zillow From 2023-08-24,"4 bds2 ba1,866 sqft"
"17476 W 69th Avenue, Arvada, CO 80007","$3,000,000 ",https://www.zillow.com/homedetails/17476-W-69th-Ave-Arvada-CO-80007/108396386_zpid/,38 days on Zillow From 2023-08-24,"6 bds8 ba7,614 sqft"
"6413 Zephyr Street, Arvada, CO 80004","$599,900 ",https://www.zillow.com/homedetails/6413-Zephyr-St-Arvada-CO-80004/13715296_zpid/,3D Tour From 2023-08-24,"3 bds2 ba1,750 sqft"
"9311 Garnett Way Unit D, Arvada, CO 80007","$505,000 ",https://www.zillow.com/homedetails/9311-Garnett-Way-D-Arvada-CO-80007/295314403_zpid/,3D Tour From 2023-08-24,"3 bds3 ba1,387 sqft"
"5173 Estes Lane, Arvada, CO 80002","$950,000 ",https://www.zillow.com/homedetails/5173-Estes-Ln-Arvada-CO-80002/299407174_zpid/,3D Tour From 2023-08-24,"4 bds4 ba2,400 sqft"
"5430 Carr Street Unit B, Arvada, CO 80002","$779,000 ",https://www.zillow.com/homedetails/5430-Carr-St-B-Arvada-CO-80002/2056428708_zpid/,39 days on Zillow From 2023-08-24,"4 bds5 ba2,209 sqft"
"8624 Yucca Street, Arvada, CO 80007","$949,000 ",https://www.zillow.com/homedetails/8624-Yucca-St-Arvada-CO-80007/121928980_zpid/,"Price cut: $6,000 (Aug 4) From 2023-08-24","4 bds3 ba5,018 sqft"
"17020 W 64th Drive, Arvada, CO 80007","$720,000 ",https://www.zillow.com/homedetails/17020-W-64th-Dr-Arvada-CO-80007/13706858_zpid/,40 days on Zillow From 2023-08-24,"4 bds3 ba2,164 sqft"
"Lot 16 (Parkside): The Briarwood Plan, Sunrise Village at Arvada Overlook","$872,450+",https://www.zillow.com/community/sunrise-village-at-arvada-overlook/2066789064_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"4 bds3 ba2,568 sqft"
"11854 W 76th Lane, Arvada, CO 80005","$1,175,000 ",https://www.zillow.com/homedetails/11854-W-76th-Ln-Arvada-CO-80005/54888844_zpid/,Open: Sat. 1-3pm From 2023-08-24,"6 bds7 ba6,132 sqft"
"9175 Cole Drive, Arvada, CO 80004","$624,999 ",https://www.zillow.com/homedetails/9175-Cole-Dr-Arvada-CO-80004/13725127_zpid/,"Price cut: $25,001 (Aug 4) From 2023-08-24","4 bds2 ba1,465 sqft"
"14614 W 69th Lane, Arvada, CO 80004","$940,000 ",https://www.zillow.com/homedetails/14614-W-69th-Ln-Arvada-CO-80004/331704689_zpid/,"Price cut: $10,000 (Aug 16) From 2023-08-24","4 bds3 ba4,306 sqft"
"5444 Zephyr Street Unit 101, Arvada, CO 80002","$425,000 ",https://www.zillow.com/homedetails/5444-Zephyr-St-UNIT-101-Arvada-CO-80002/68063765_zpid/,3D Tour From 2023-08-24,"2 bds2 ba1,169 sqft"
"6799 W 52nd Avenue, Arvada, CO 80002","$710,000 ",https://www.zillow.com/homedetails/6799-W-52nd-Ave-Arvada-CO-80002/13729496_zpid/,Open: Sun. 1-4pm From 2023-08-24,"6 bds3 ba2,947 sqft"
"5442 W 68th Pl, Arvada, CO 80003","$893,000 ",https://www.zillow.com/homedetails/5442-W-68th-Pl-Arvada-CO-80003/68052759_zpid/,Open: Sat. 11am-2pm From 2023-08-24,"3 bds3 ba4,125 sqft"
"6784 Welch Court, Arvada, CO 80004","$695,000 ",https://www.zillow.com/homedetails/6784-Welch-Ct-Arvada-CO-80004/13719211_zpid/,"Price cut: $5,000 (Aug 18) From 2023-08-24","4 bds3 ba2,634 sqft"
"18715 W 93rd Avenue, Arvada, CO 80007","$1,175,000 ",https://www.zillow.com/homedetails/18715-W-93rd-Ave-Arvada-CO-80007/123599470_zpid/,3D Tour From 2023-08-24,"6 bds6 ba4,918 sqft"
"6301 Nelson Street, Arvada, CO 80004","$999,500 ",https://www.zillow.com/homedetails/6301-Nelson-St-Arvada-CO-80004/13723783_zpid/,44 days on Zillow From 2023-08-24,"8 bds6 ba4,494 sqft"
"6541 Umber Circle, Arvada, CO 80007","$768,500 ",https://www.zillow.com/homedetails/6541-Umber-Cir-Arvada-CO-80007/79992748_zpid/,48 days on Zillow From 2023-08-24,"4 bds4 ba3,472 sqft"
"6975 W 61st Avenue, Arvada, CO 80003","$360,000 ",https://www.zillow.com/homedetails/6975-W-61st-Ave-Arvada-CO-80003/63365914_zpid/,"Price cut: $25,000 (Jul 31) From 2023-08-24","2 bds2 ba1,356 sqft"
"8682 W 49th Place, Arvada, CO 80002","$695,000 ",https://www.zillow.com/homedetails/8682-W-49th-Pl-Arvada-CO-80002/338450548_zpid/,3D Tour From 2023-08-24,"3 bds3 ba2,400 sqft"
"5407 Iris Street, Arvada, CO 80002","$575,000 ",https://www.zillow.com/homedetails/5407-Iris-St-Arvada-CO-80002/13730494_zpid/,48 days on Zillow From 2023-08-24,"3 bds1 ba1,414 sqft"
"15462 W 65th Avenue Unit D, Arvada, CO 80007","$600,000 ",https://www.zillow.com/homedetails/15462-W-65th-Ave-UNIT-D-Arvada-CO-80007/131685168_zpid/,48 days on Zillow From 2023-08-24,"3 bds3 ba1,847 sqft"
"Alley House Plan, Geos","$652,990+",https://www.zillow.com/community/geos/2056559316_zpid/,Open: Wednesday - Satur... From 2023-08-24,"4 bds4 ba2,051 sqft"
"Sonnenvilla Plan, Geos","$684,990+",https://www.zillow.com/community/geos/2056559317_zpid/,Open: Wednesday - Satur... From 2023-08-24,"3 bds2 ba2,508 sqft"
"Urban Paired Plan, Geos","$524,990+",https://www.zillow.com/community/geos/2056559318_zpid/,Open: Wednesday - Satur... From 2023-08-24,"4 bds4 ba1,584 sqft"
"Reihenhaus Plan, Geos","$464,990+",https://www.zillow.com/community/geos/2056559319_zpid/,Open: Wednesday - Satur... From 2023-08-24,"3 bds4 ba1,090 sqft"
"Solar Cottage Plan, Geos","$639,990+",https://www.zillow.com/community/geos/2056559320_zpid/,Open: Wednesday - Satur... From 2023-08-24,"4 bds4 ba1,800 sqft"
"5350 Carr Street Unit B, Arvada, CO 80002","$659,000 ",https://www.zillow.com/homedetails/5350-Carr-St-B-Arvada-CO-80002/2056564198_zpid/,Open: Sat. 1-4pm From 2023-08-24,"3 bds4 ba1,770 sqft"
"8197 Dudley Way, Arvada, CO 80005","$598,000 ",https://www.zillow.com/homedetails/8197-Dudley-Way-Arvada-CO-80005/13696866_zpid/,"Price cut: $17,000 (Jul 17) From 2023-08-24","4 bds3 ba1,746 sqft"
"15522 W 65th Avenue Unit D, Arvada, CO 80007","$575,000 ",https://www.zillow.com/homedetails/15522-W-65th-Ave-UNIT-D-Arvada-CO-80007/131685080_zpid/,"Price cut: $10,000 (Aug 15) From 2023-08-24","3 bds3 ba1,847 sqft"
"5350 Routt Court Unit B, Arvada, CO 80002","$569,950 ",https://www.zillow.com/homedetails/5350-Routt-Ct-B-Arvada-CO-80002/334526201_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,438 sqft"
"9015 W 49th Place, Arvada, CO 80002","$500,000 ",https://www.zillow.com/homedetails/9015-W-49th-Pl-Arvada-CO-80002/13731204_zpid/,"Price cut: $25,000 (Aug 18) From 2023-08-24","3 bds1 ba1,225 sqft"
"5773 W 61st Drive, Arvada, CO 80003","$630,000 ",https://www.zillow.com/homedetails/5773-W-61st-Dr-Arvada-CO-80003/13728169_zpid/,3D Tour From 2023-08-24,"3 bds3 ba1,498 sqft"
"5124 Queen Court, Arvada, CO 80002","$969,950 ",https://www.zillow.com/homedetails/5124-Queen-Ct-Arvada-CO-80002/334526478_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"4 bds4 ba4,210 sqft"
"5378 Routt Court Unit B, Arvada, CO 80002","$569,950 ",https://www.zillow.com/homedetails/5378-Routt-St-B-Arvada-CO-80002/334526600_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,475 sqft"
"4863 W 68th Ave UNIT 1, Westminster, CO 80030","$549,999 ",https://www.zillow.com/homedetails/4863-W-68th-Ave-UNIT-1-Westminster-CO-80030/13025174_zpid/,Open: Sat. 11am-1pm From 2023-08-24,"3 bds3 ba2,838 sqft"
"6214 Devinney Circle, Arvada, CO 80004","$980,000 ",https://www.zillow.com/homedetails/6214-Devinney-Cir-Arvada-CO-80004/13721855_zpid/,3D Tour From 2023-08-24,"4 bds4 ba4,154 sqft"
"5360 Routt Court Unit A, Arvada, CO 80002","$554,950 ",https://www.zillow.com/homedetails/5360-Routt-Ct-A-Arvada-CO-80002/334526602_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,475 sqft"
"5275 Tabor Street, Arvada, CO 80002","$850,000 ",https://www.zillow.com/homedetails/5275-Tabor-St-Arvada-CO-80002/13731578_zpid/,Open: Sat. 11am-1pm From 2023-08-24,"3 bds3 ba3,631 sqft"
"Lot 1 (Overlook): The Aspen Plan, Sunrise Village at Arvada Overlook","$773,450+",https://www.zillow.com/community/sunrise-village-at-arvada-overlook/2066789066_zpid/,Open: F: 12:00 PM-5:00 ... From 2023-08-24,"3 bds2 ba1,672 sqft"
"9473 Noble Way, Arvada, CO 80007","$1,199,000 ",https://www.zillow.com/homedetails/9473-Noble-Way-Arvada-CO-80007/119083636_zpid/,3D Tour From 2023-08-24,"5 bds4 ba6,263 sqft"
"6961 Salvia Street, Arvada, CO 80007","$2,250,000 ",https://www.zillow.com/homedetails/6961-Salvia-St-Arvada-CO-80007/13706314_zpid/,3D Tour From 2023-08-24,"5 bds5 ba4,763 sqft"
"10756 W 68th Place, Arvada, CO 80004","$749,900 ",https://www.zillow.com/homedetails/10756-W-68th-Pl-Arvada-CO-80004/13717138_zpid/,6 days on Zillow From 2023-08-24,"5 bds3 ba2,292 sqft"
"8437 Chase Drive, Arvada, CO 80003","$639,000 ",https://www.zillow.com/homedetails/8437-Chase-Dr-Arvada-CO-80003/13691547_zpid/,6 days on Zillow From 2023-08-24,"4 bds3 ba2,600 sqft"
"The Bristol Plan, Ralston Terrace at Arvada Overlook","$599,950+",https://www.zillow.com/community/ralston-terrace-at-arvada-overlook/2067473666_zpid/,Open: Sa: 10:00 AM-5:00... From 2023-08-24,"3 bds3 ba1,560 sqft"
"14067 W 84th Cir, Arvada, CO 80005","$640,000 ",https://www.zillow.com/homedetails/14067-W-84th-Cir-Arvada-CO-80005/68060973_zpid/,6 days on Zillow From 2023-08-24,"4 bds4 ba2,751 sqft"
