Address,Price,Links,Dates,Details
"2102 Garrison Street, Lakewood, CO 80215","$1,300,000 ",https://www.zillow.com/homedetails/2102-Garrison-St-Lakewood-CO-80215/13746558_zpid/,15 days on Zillow From 2023-08-23,"3 bds3 ba2,200 sqft"
"341 Wright Street Unit 103, Lakewood, CO 80228","$345,000 ",https://www.zillow.com/homedetails/341-Wright-St-APT-103-Lakewood-CO-80228/13765443_zpid/,"Price cut: $5,000 (Aug 17) From 2023-08-23",2 bds1 ba967 sqft
"8025 W 5th Avenue, Lakewood, CO 80226","$1,295,000 ",https://www.zillow.com/homedetails/8025-W-5th-Ave-Lakewood-CO-80226/13768095_zpid/,16 days on Zillow From 2023-08-23,"4 bds4 ba3,743 sqft"
"3696 S Depew Street Unit 206, Lakewood, CO 80235","$359,900 ",https://www.zillow.com/homedetails/3696-S-Depew-St-UNIT-206-Lakewood-CO-80235/13806954_zpid/,16 days on Zillow From 2023-08-23,"2 bds2 ba1,043 sqft"
"9010 W 3rd Place, Lakewood, CO 80226","$649,500 ",https://www.zillow.com/homedetails/9010-W-3rd-Pl-Lakewood-CO-80226/13766874_zpid/,"Price cut: $25,500 (Aug 19) From 2023-08-23","3 bds2 ba2,912 sqft"
"1290 Independence Street, Lakewood, CO 80215","$575,000 ",https://www.zillow.com/homedetails/1290-Independence-St-Lakewood-CO-80215/104463390_zpid/,17 days on Zillow From 2023-08-23,"4 bds2 ba2,072 sqft"
"9532 W Wesley Drive, Lakewood, CO 80227","$885,000 ",https://www.zillow.com/homedetails/9532-W-Wesley-Dr-Lakewood-CO-80227/13790347_zpid/,18 days on Zillow From 2023-08-23,"5 bds3 ba2,892 sqft"
"1435 Ames Street, Lakewood, CO 80214","$479,900 ",https://www.zillow.com/homedetails/1435-Ames-St-Lakewood-CO-80214/13759492_zpid/,"Price cut: $10,000 (Aug 21) From 2023-08-23",2 bds1 ba812 sqft
"1834 S Cole Street Unit 1834, Lakewood, CO 80228","$544,999 ",https://www.zillow.com/homedetails/1834-S-Cole-St-1834-Lakewood-CO-80228/51407779_zpid/,18 days on Zillow From 2023-08-23,"3 bds3 ba1,732 sqft"
"1410 S Eaton Street, Lakewood, CO 80232","$598,000 ",https://www.zillow.com/homedetails/1410-S-Eaton-St-Lakewood-CO-80232/13785817_zpid/,"Price cut: $17,000 (Aug 17) From 2023-08-23","4 bds2 ba2,296 sqft"
"775 Garland St, Lakewood, CO 80215","$1,260,000 ",https://www.zillow.com/homedetails/775-Garland-St-Lakewood-CO-80215/13761835_zpid/,"Price cut: $20,000 (Aug 20) From 2023-08-23","4 bds4 ba4,172 sqft"
"650 Ingalls Street, Lakewood, CO 80214","$850,000 ",https://www.zillow.com/homedetails/650-Ingalls-St-Lakewood-CO-80214/13760149_zpid/,19 days on Zillow From 2023-08-23,"5 bds3 ba2,600 sqft"
"741 S Moore Court, Lakewood, CO 80226","$700,000 ",https://www.zillow.com/homedetails/741-S-Moore-Ct-Lakewood-CO-80226/13774910_zpid/,19 days on Zillow From 2023-08-23,"4 bds3 ba2,408 sqft"
"5755 W Atlantic Place Unit 204, Lakewood, CO 80227","$349,900 ",https://www.zillow.com/homedetails/5755-W-Atlantic-Pl-APT-204-Lakewood-CO-80227/13787288_zpid/,19 days on Zillow From 2023-08-23,"2 bds2 ba1,048 sqft"
"9362 W 13th Place, Lakewood, CO 80215","$825,000 ",https://www.zillow.com/homedetails/9362-W-13th-Pl-Lakewood-CO-80215/54889698_zpid/,3D Tour From 2023-08-23,"4 bds3 ba3,482 sqft"
"265 S Chase Street, Lakewood, CO 80226","$849,900 ",https://www.zillow.com/homedetails/265-S-Chase-St-Lakewood-CO-80226/13770239_zpid/,19 days on Zillow From 2023-08-23,"6 bds4 ba3,410 sqft"
"1571 S Welch Circle, Lakewood, CO 80228","$715,000 ",https://www.zillow.com/homedetails/1571-S-Welch-Cir-Lakewood-CO-80228/13779688_zpid/,3D Tour From 2023-08-23,"4 bds3 ba2,685 sqft"
"7080 W Custer Ave, Lakewood, CO 80226","$999,000 ",https://www.zillow.com/homedetails/7080-W-Custer-Ave-Lakewood-CO-80226/82593418_zpid/,20 days on Zillow From 2023-08-23,"4 bds5 ba4,170 sqft"
"13070 W 6th Place, Lakewood, CO 80401","$625,000 ",https://www.zillow.com/homedetails/13070-W-6th-Pl-Lakewood-CO-80401/13763533_zpid/,3D Tour From 2023-08-23,"3 bds2 ba1,938 sqft"
"1101 S Garrison Street Unit 103, Lakewood, CO 80232","$364,900 ",https://www.zillow.com/homedetails/1101-S-Garrison-St-APT-103-Lakewood-CO-80232/13782116_zpid/,20 days on Zillow From 2023-08-23,"2 bds2 ba1,104 sqft"
"15465 W Adriatic Drive, Lakewood, CO 80228","$1,450,000 ",https://www.zillow.com/homedetails/15465-W-Adriatic-Dr-Lakewood-CO-80228/121928675_zpid/,3D Tour From 2023-08-23,"4 bds4 ba4,796 sqft"
"7850 W Florida Avenue, Lakewood, CO 80232","$575,000 ",https://www.zillow.com/homedetails/7850-W-Florida-Ave-Lakewood-CO-80232/13784266_zpid/,21 days on Zillow From 2023-08-23,"5 bds3 ba2,050 sqft"
"1105 S Wright Street, Lakewood, CO 80228","$630,000 ",https://www.zillow.com/homedetails/1105-S-Wright-St-Lakewood-CO-80228/13778877_zpid/,3D Tour From 2023-08-23,"3 bds2 ba1,918 sqft"
"8852 W Louisiana Place, Lakewood, CO 80232","$699,999 ",https://www.zillow.com/homedetails/8852-W-Louisiana-Pl-Lakewood-CO-80232/13781901_zpid/,23 days on Zillow From 2023-08-23,"4 bds2 ba1,898 sqft"
"13830 W Alaska Dr Drive, Lakewood, CO 80228","$775,000 ",https://www.zillow.com/homedetails/13830-W-Alaska-Dr-Lakewood-CO-80228/13777130_zpid/,23 days on Zillow From 2023-08-23,"4 bds3 ba2,353 sqft"
"420 Dudley Street, Lakewood, CO 80226","$624,900 ",https://www.zillow.com/homedetails/420-Dudley-St-Lakewood-CO-80226/13766704_zpid/,"Price cut: $10,000 (Aug 18) From 2023-08-23","3 bds2 ba1,795 sqft"
"950 S Briarwood Drive, Lakewood, CO 80226","$625,000 ",https://www.zillow.com/homedetails/950-S-Briarwood-Dr-Lakewood-CO-80226/13774646_zpid/,"Price cut: $25,000 (Aug 14) From 2023-08-23","3 bds2 ba2,040 sqft"
"6738 W Oregon Avenue, Lakewood, CO 80232","$650,000 ",https://www.zillow.com/homedetails/6738-W-Oregon-Ave-Lakewood-CO-80232/13786771_zpid/,26 days on Zillow From 2023-08-23,"3 bds4 ba2,482 sqft"
"374 S Estes St UNIT B, Lakewood, CO 80226","$349,000 ",https://www.zillow.com/homedetails/374-S-Estes-St-APT-B-Lakewood-CO-80226/13772335_zpid/,26 days on Zillow From 2023-08-23,2 bds2 ba964 sqft
"2660 S Chase Lane, Lakewood, CO 80227","$650,000 ",https://www.zillow.com/homedetails/2660-S-Chase-Ln-Lakewood-CO-80227/13788423_zpid/,"Price cut: $65,000 (Aug 22) From 2023-08-23","5 bds3 ba2,344 sqft"
"13966 W Warren Drive, Lakewood, CO 80228","$665,000 ",https://www.zillow.com/homedetails/13966-W-Warren-Dr-Lakewood-CO-80228/13793575_zpid/,"Price cut: $20,000 (Aug 15) From 2023-08-23","3 bds3 ba2,621 sqft"
"10872 W Evans Avenue Unit 3d, Lakewood, CO 80227","$355,000 ",https://www.zillow.com/homedetails/10872-W-Evans-Ave-UNIT-3D-Lakewood-CO-80227/13791454_zpid/,3D Tour From 2023-08-23,"2 bds2 ba1,151 sqft"
"12730 W Atlantic Avenue, Lakewood, CO 80228","$635,000 ",https://www.zillow.com/homedetails/12730-W-Atlantic-Ave-Lakewood-CO-80228/13792435_zpid/,"Price cut: $15,000 (Aug 23) From 2023-08-23","4 bds3 ba2,902 sqft"
"105 Garrison Street, Lakewood, CO 80226","$610,000 ",https://www.zillow.com/homedetails/105-Garrison-St-Lakewood-CO-80226/13767169_zpid/,3D Tour From 2023-08-23,"4 bds1 ba2,292 sqft"
"6911 W Eldorado Place, Lakewood, CO 80227","$1,197,000 ",https://www.zillow.com/homedetails/6911-W-Eldorado-Pl-Lakewood-CO-80227/13798705_zpid/,"Price cut: $98,000 (Aug 18) From 2023-08-23","5 bds6 ba4,697 sqft"
"640 S Yarrow Street, Lakewood, CO 80226","$625,000 ",https://www.zillow.com/homedetails/640-S-Yarrow-St-Lakewood-CO-80226/58768792_zpid/,27 days on Zillow From 2023-08-23,"3 bds3 ba2,334 sqft"
"10468 W Dartmouth Avenue, Lakewood, CO 80227","$399,900 ",https://www.zillow.com/homedetails/10468-W-Dartmouth-Ave-Lakewood-CO-80227/13795964_zpid/,27 days on Zillow From 2023-08-23,"2 bds1 ba1,073 sqft"
"1878 S Ammons Street Unit A, Lakewood, CO 80232","$445,000 ",https://www.zillow.com/homedetails/1878-S-Ammons-St-APT-A-Lakewood-CO-80232/13784576_zpid/,27 days on Zillow From 2023-08-23,"3 bds3 ba1,804 sqft"
"3355 S Flower Street Unit 75, Lakewood, CO 80227","$312,000 ",https://www.zillow.com/homedetails/3355-S-Flower-St-UNIT-75-Lakewood-CO-80227/13797783_zpid/,3D Tour From 2023-08-23,2 bds1 ba944 sqft
"6578 W Atlantic Avenue, Lakewood, CO 80227","$773,900 ",https://www.zillow.com/homedetails/6578-W-Atlantic-Pl-Lakewood-CO-80227/338450762_zpid/,3D Tour From 2023-08-23,"3 bds2 ba3,357 sqft"
