Address,Price,Links,Dates,Details
"4081 Crimson Sky Plan, Horizon at Solstice","$715,400+",https://www.zillow.com/community/horizon-at-solstice/2070837735_zpid/,3D Tour From 2023-08-23,"2 bds2 ba1,832 sqft"
"Vail Plan, Prospect Village at Sterling Ranch: Paired Homes","$581,990+",https://www.zillow.com/community/prospect-village-at-sterling-ranch-paired-homes/2069724398_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"3 bds3 ba1,880 sqft"
"12183 Arnett Ranch Road, Littleton, CO 80127","$1,299,000 ",https://www.zillow.com/homedetails/12183-Arnett-Ranch-Rd-Littleton-CO-80127/13838807_zpid/,76 days on Zillow From 2023-08-24,"5 bds4 ba3,428 sqft"
"8283 S Queen Street, Littleton, CO 80127","$796,444 ",https://www.zillow.com/homedetails/8283-S-Queen-St-Littleton-CO-80127/2061509311_zpid/,77 days on Zillow From 2023-08-24,"3 bds3 ba2,508 sqft"
"8102 Raphael Lane, Littleton, CO 80125","$1,675,000 ",https://www.zillow.com/homedetails/8102-Raphael-Ln-Littleton-CO-80125/157719713_zpid/,78 days on Zillow From 2023-08-24,"3 bds3 ba4,051 sqft"
"9604 Sunrise Avenue, Littleton, CO 80125","$1,698,000 ",https://www.zillow.com/homedetails/9604-Sunrise-Ave-Littleton-CO-80125/13433992_zpid/,"Price cut: $41,000 (Aug 2) From 2023-08-24","5 bds4 ba3,882 sqft"
"8185 Snake River Street, Littleton, CO 80125","$652,950 ",https://www.zillow.com/homedetails/8185-Snake-River-St-Littleton-CO-80125/2057276575_zpid/,78 days on Zillow From 2023-08-24,"3 bds3 ba1,990 sqft"
"8597 Butte Creek Street, Littleton, CO 80125","$803,950 ",https://www.zillow.com/homedetails/8597-Butte-Creek-St-Littleton-CO-80125/2057280460_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"4 bds4 ba2,880 sqft"
"8565 Butte Creek Street, Littleton, CO 80125","$727,950 ",https://www.zillow.com/homedetails/8565-Butte-Creek-St-Littleton-CO-80125/2057282876_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba2,430 sqft"
"8581 Butte Creek Street, Littleton, CO 80125","$777,950 ",https://www.zillow.com/homedetails/8581-Butte-Creek-St-Littleton-CO-80125/2057283953_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds4 ba2,440 sqft"
"9069 Snake River Street, Littleton, CO 80125","$536,950 ",https://www.zillow.com/homedetails/9069-Snake-River-St-Littleton-CO-80125/2057294372_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-24,"3 bds3 ba1,430 sqft"
"2913 W Bryant Circle, Littleton, CO 80120","$410,000 ",https://www.zillow.com/homedetails/2913-W-Bryant-Cir-Littleton-CO-80120/13167081_zpid/,3D Tour From 2023-08-24,"2 bds3 ba1,458 sqft"
"6855 Raspberry Run, Littleton, CO 80125","$950,000 ",https://www.zillow.com/homedetails/6855-Raspberry-Run-Littleton-CO-80125/13488346_zpid/,"Price cut: $20,000 (Jul 17) From 2023-08-24","4 bds3 ba4,118 sqft"
"7 Periwinkle, Littleton, CO 80127","$975,000 ",https://www.zillow.com/homedetails/7-Periwinkle-Littleton-CO-80127/13801472_zpid/,"Price cut: $14,000 (Jul 20) From 2023-08-24","4 bds4 ba2,683 sqft"
"7035 S Chase Court, Littleton, CO 80128","$1,225,000 ",https://www.zillow.com/homedetails/7035-S-Chase-Ct-Littleton-CO-80128/13823394_zpid/,84 days on Zillow From 2023-08-24,"4 bds3 ba3,984 sqft"
"9880 Old Coal Mine Avenue, Littleton, CO 80123","$860,000 ",https://www.zillow.com/homedetails/9880-Old-Coal-Mine-Ave-Littleton-CO-80123/13826929_zpid/,"Price cut: $39,000 (Aug 4) From 2023-08-24","5 bds3 ba2,872 sqft"
"17 N Ranch Road, Littleton, CO 80127","$1,625,000 ",https://www.zillow.com/homedetails/17-N-Ranch-Rd-Littleton-CO-80127/13801122_zpid/,"Price cut: $74,000 (Jul 21) From 2023-08-24","4 bds6 ba4,938 sqft"
"5825 S Watson Circle, Littleton, CO 80123","$1,974,900 ",https://www.zillow.com/homedetails/5825-S-Watson-Cir-Littleton-CO-80123/309951114_zpid/,85 days on Zillow From 2023-08-24,"3 bds3 ba5,371 sqft"
"7873 S Windermere Circle, Littleton, CO 80120","$563,000 ",https://www.zillow.com/homedetails/7873-S-Windermere-Cir-Littleton-CO-80120/13169317_zpid/,"Price cut: $6,000 (Aug 19) From 2023-08-24","3 bds2 ba1,909 sqft"
"7231 S Webster Street, Littleton, CO 80128","$629,900 ",https://www.zillow.com/homedetails/7231-S-Webster-St-Littleton-CO-80128/13825956_zpid/,"Price cut: $10,000 (Jul 13) From 2023-08-24","3 bds3 ba2,679 sqft"
"8787 S Deer Creek Canyon Road, Littleton, CO 80127","$765,000 ",https://www.zillow.com/homedetails/8787-S-Deer-Creek-Canyon-Rd-Littleton-CO-80127/13837627_zpid/,"Price cut: $30,000 (Jul 28) From 2023-08-24","3 bds2 ba3,650 sqft"
"1652 W Canal Circle Unit 513, Littleton, CO 80120","$400,000 ",https://www.zillow.com/homedetails/1652-W-Canal-Cir-UNIT-513-Littleton-CO-80120/61209041_zpid/,"Price cut: $10,000 (Aug 23) From 2023-08-24","3 bds2 ba1,195 sqft"
"8410 S Oak Street, Littleton, CO 80127","$899,000 ",https://www.zillow.com/homedetails/8410-S-Oak-St-Littleton-CO-80127/13844359_zpid/,"Price cut: $40,000 (Jul 5) From 2023-08-24","5 bds4 ba3,384 sqft"
"6378 S Benton Way, Littleton, CO 80123","$925,000 ",https://www.zillow.com/homedetails/6378-S-Benton-Way-Littleton-CO-80123/13823202_zpid/,3D Tour From 2023-08-24,"3 bds3 ba2,644 sqft"
"420 E Fremont Place Unit 408, Littleton, CO 80122","$454,900 ",https://www.zillow.com/homedetails/420-E-Fremont-Pl-408-Littleton-CO-80122/333901740_zpid/,3D Tour From 2023-08-24,"2 bds2 ba1,180 sqft"
"8757 Hugo Drive, Littleton, CO 80125","$758,072 ",https://www.zillow.com/homedetails/8757-Hugo-Dr-Littleton-CO-80125/2061470860_zpid/,Open: M:10AM-6PM;Tu:10A... From 2023-08-24,"4 bds4 ba2,800 sqft"
"6930 S Polo Ridge Drive, Littleton, CO 80128","$4,400,000 ",https://www.zillow.com/homedetails/6930-S-Polo-Ridge-Dr-Littleton-CO-80128/13167482_zpid/,"Price cut: $250,000 (Aug 16) From 2023-08-24","7 bds9 ba12,577 sqft"
"2832 W Long Drive Unit F, Littleton, CO 80120","$449,950 ",https://www.zillow.com/homedetails/2832-W-Long-Dr-APT-F-Littleton-CO-80120/13168282_zpid/,3D Tour From 2023-08-24,"2 bds2 ba1,105 sqft"
"31 Lark Bunting Lane, Littleton, CO 80127","$1,675,000 ",https://www.zillow.com/homedetails/31-Lark-Bunting-Ln-Littleton-CO-80127/13800993_zpid/,Open: Sat. 12-3pm From 2023-08-24,"5 bds5 ba5,178 sqft"
"698 E Dry Creek Circle, Littleton, CO 80122","$825,000 ",https://www.zillow.com/homedetails/698-E-Dry-Creek-Cir-Littleton-CO-80122/247460576_zpid/,"Price cut: $24,900 (Aug 3) From 2023-08-24","4 bds4 ba4,504 sqft"
"6964 Fox Paw Trail, Littleton, CO 80125","$949,900 ",https://www.zillow.com/homedetails/6964-Fox-Paw-Trl-Littleton-CO-80125/13488280_zpid/,3D Tour From 2023-08-24,"4 bds3 ba3,417 sqft"
"9771 W Fremont Place, Littleton, CO 80128","$668,000 ",https://www.zillow.com/homedetails/9771-W-Fremont-Pl-Littleton-CO-80128/13827700_zpid/,"Price cut: $14,000 (Aug 17) From 2023-08-24","3 bds3 ba2,403 sqft"
"7938 Dante Drive, Littleton, CO 80125","$3,035,000 ",https://www.zillow.com/homedetails/7938-Dante-Dr-Littleton-CO-80125/108393991_zpid/,"Price cut: $60,000 (Jun 22) From 2023-08-24","4 bds4 ba5,152 sqft"
"8061 Monte Vista Circle, Littleton, CO 80125","$691,730 ",https://www.zillow.com/homedetails/8061-Monte-Vista-Cir-Littleton-CO-80125/331684002_zpid/,Open: Mon:Appt Only;Tue... From 2023-08-24,"4 bds3 ba2,866 sqft"
"9753 Middle Peak Street, Littleton, CO 80125","$679,990 ",https://www.zillow.com/homedetails/9753-Middle-Peak-St-Littleton-CO-80125/331683913_zpid/,Open: Mon:Appt Only;Tue... From 2023-08-24,"4 bds3 ba3,049 sqft"
"13 Tamarade Drive, Littleton, CO 80127","$3,980,000 ",https://www.zillow.com/homedetails/13-Tamarade-Dr-Littleton-CO-80127/13802152_zpid/,"Price cut: $420,000 (Jul 24) From 2023-08-24","7 bds7 ba9,830 sqft"
"6190 W Bowles Avenue, Littleton, CO 80123","$1,770,000 ",https://www.zillow.com/homedetails/6190-W-Bowles-Ave-Littleton-CO-80123/13822356_zpid/,Open: Sun. 11am-2pm From 2023-08-24,"4 bds2 ba2,521 sqft"
"23 N Ranch Road, Littleton, CO 80127","$1,550,000 ",https://www.zillow.com/homedetails/23-N-Ranch-Rd-Littleton-CO-80127/13801129_zpid/,"Price cut: $40,000 (Jul 21) From 2023-08-23","5 bds4 ba4,652 sqft"
"8 Desert Willow Lane, Littleton, CO 80127","$1,150,000 ",https://www.zillow.com/homedetails/8-Desert-Willow-Ln-Littleton-CO-80127/13831065_zpid/,54 days on Zillow From 2023-08-23,"4 bds5 ba4,377 sqft"
"7224 S Acoma Way, Littleton, CO 80120","$849,000 ",https://www.zillow.com/homedetails/7224-S-Acoma-Way-Littleton-CO-80120/13165671_zpid/,3D Tour From 2023-08-23,"5 bds4 ba2,884 sqft"
"11249 Star Streak Lane, Littleton, CO 80125","$799,999 ",https://www.zillow.com/homedetails/11249-Star-Streak-Ln-Littleton-CO-80125/331678015_zpid/,"Price cut: $45,001 (Jul 17) From 2023-08-23","3 bds3 ba4,330 sqft"
"6596 W Long Drive, Littleton, CO 80123","$1,249,950 ",https://www.zillow.com/homedetails/6596-W-Long-Dr-Littleton-CO-80123/13812261_zpid/,"Price cut: $50,050 (Jul 11) From 2023-08-23","4 bds4 ba4,101 sqft"
"9465 Bear River Street, Littleton, CO 80125","$1,245,000 ",https://www.zillow.com/homedetails/9465-Bear-River-St-Littleton-CO-80125/245219854_zpid/,"Price cut: $5,000 (Aug 12) From 2023-08-23","5 bds6 ba6,529 sqft"
"2257 W Caley Place, Littleton, CO 80120","$638,000 ",https://www.zillow.com/homedetails/2257-W-Caley-Pl-Littleton-CO-80120/13156209_zpid/,"Price cut: $2,000 (Aug 14) From 2023-08-23","3 bds3 ba2,114 sqft"
"6080 + 6084 S Prince Street, Littleton, CO 80120","$825,000 ",https://www.zillow.com/homedetails/6080-6084-S-Prince-St-Littleton-CO-80120/2056995316_zpid/,3D Tour From 2023-08-23,"6 bds4 ba2,736 sqft"
"7636 Dante Drive, Littleton, CO 80125","$5,295,000 ",https://www.zillow.com/homedetails/7636-Dante-Dr-Littleton-CO-80125/108386225_zpid/,3D Tour From 2023-08-23,"5 bds7 ba6,743 sqft"
"9922 Monte Vista Avenue, Littleton, CO 80125","$660,360 ",https://www.zillow.com/homedetails/9922-Monte-Vista-Ave-Littleton-CO-80125/331683981_zpid/,Open: Mon:Appt Only;Tue... From 2023-08-23,"4 bds3 ba2,536 sqft"
"5304 S Prescott Street, Littleton, CO 80120","$525,000 ",https://www.zillow.com/homedetails/5304-S-Prescott-St-Littleton-CO-80120/63047088_zpid/,34 days on Zillow From 2023-08-23,"4 bds2 ba2,050 sqft"
"7251 Eagle Rock Drive, Littleton, CO 80125","$750,000 ",https://www.zillow.com/homedetails/7251-Eagle-Rock-Dr-Littleton-CO-80125/13487842_zpid/,34 days on Zillow From 2023-08-23,"4 bds3 ba2,943 sqft"
"6297 S Gallup Street, Littleton, CO 80120","$965,000 ",https://www.zillow.com/homedetails/6297-S-Gallup-St-Littleton-CO-80120/13155570_zpid/,"Price cut: $14,900 (Aug 8) From 2023-08-23","5 bds3 ba3,072 sqft"
"Glenborough Plan, Village Cooperative of Chatfield (Active Adults 62+)","$197,000+",https://www.zillow.com/community/village-cooperative-of-chatfield-active-adults-62/2066657077_zpid/,Open: M: 9:00 AM-5:00 P... From 2023-08-23,"2 bds2 ba1,220 sqft"
"648 E Dry Creek Circle, Littleton, CO 80122","$949,900 ",https://www.zillow.com/homedetails/648-E-Dry-Creek-Cir-Littleton-CO-80122/247460613_zpid/,"Price cut: $30,100 (Aug 14) From 2023-08-23","5 bds5 ba4,576 sqft"
"8169 Sewanee Peak Street, Littleton, CO 80125","$690,000 ",https://www.zillow.com/homedetails/8169-Sewanee-Peak-St-Littleton-CO-80125/2056380905_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds2 ba3,577 sqft"
"9687 Eagle River Street, Littleton, CO 80125","$925,000 ",https://www.zillow.com/homedetails/9687-Eagle-River-St-Littleton-CO-80125/245219705_zpid/,"Price cut: $15,000 (Aug 10) From 2023-08-23","5 bds4 ba3,688 sqft"
"9780 S Johnson Street, Littleton, CO 80127","$739,900 ",https://www.zillow.com/homedetails/9780-S-Johnson-St-Littleton-CO-80127/58769676_zpid/,"Price cut: $10,100 (Aug 3) From 2023-08-23","2 bds3 ba3,304 sqft"
"6829 S Webster Street Unit B, Littleton, CO 80128","$495,000 ",https://www.zillow.com/homedetails/6829-S-Webster-St-APT-B-Littleton-CO-80128/13824706_zpid/,"Price cut: $20,000 (Aug 14) From 2023-08-23","2 bds4 ba2,644 sqft"
"6249 S Coventry Lane E, Littleton, CO 80123","$1,575,000 ",https://www.zillow.com/homedetails/6249-S-Coventry-Ln-E-Littleton-CO-80123/13154718_zpid/,3D Tour From 2023-08-23,"4 bds3 ba4,268 sqft"
"7229 S Sundown Circle, Littleton, CO 80120","$614,950 ",https://www.zillow.com/homedetails/7229-S-Sundown-Cir-Littleton-CO-80120/13165281_zpid/,3D Tour From 2023-08-23,"3 bds3 ba3,246 sqft"
"8185 Mount Harvard Road, Littleton, CO 80125","$643,490 ",https://www.zillow.com/homedetails/8185-Mount-Harvard-Rd-Littleton-CO-80125/331683917_zpid/,Open: Mon:Appt Only;Tue... From 2023-08-23,"4 bds3 ba2,536 sqft"
"8907 Swan River Street, Littleton, CO 80125","$838,950 ",https://www.zillow.com/homedetails/8907-Swan-River-St-Littleton-CO-80125/331678019_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"5 bds5 ba4,080 sqft"
"526 E Hinsdale Avenue, Littleton, CO 80122","$660,000 ",https://www.zillow.com/homedetails/526-E-Hinsdale-Ave-Littleton-CO-80122/247460604_zpid/,"Price cut: $10,000 (Aug 21) From 2023-08-23","2 bds3 ba1,760 sqft"
"6981 N Buckskin Drive, Littleton, CO 80125","$650,000 ",https://www.zillow.com/homedetails/6981-Buckskin-Dr-Littleton-CO-80125/249983066_zpid/,"Price cut: $25,000 (Aug 11) From 2023-08-23","4 bds4 ba2,600 sqft"
"8 Maclean Drive, Littleton, CO 80123","$1,570,000 ",https://www.zillow.com/homedetails/8-Maclean-Dr-Littleton-CO-80123/13155144_zpid/,3D Tour From 2023-08-23,"4 bds5 ba4,797 sqft"
"6043 S Lamar Drive, Littleton, CO 80123","$700,000 ",https://www.zillow.com/homedetails/6043-S-Lamar-Dr-Littleton-CO-80123/13822530_zpid/,"Price cut: $25,000 (Jul 26) From 2023-08-23","5 bds2 ba2,061 sqft"
"5795 S Fox St, Littleton, CO 80120","$675,000 ",https://www.zillow.com/homedetails/5795-S-Fox-St-Littleton-CO-80120/13150940_zpid/,"Price cut: $20,000 (Aug 8) From 2023-08-23","4 bds2 ba2,700 sqft"
"8347 S Upham Way Unit 101, Littleton, CO 80128","$365,000 ",https://www.zillow.com/homedetails/8347-S-Upham-Way-APT-101-Littleton-CO-80128/13842731_zpid/,41 days on Zillow From 2023-08-23,2 bds2 ba900 sqft
"7252 S Sundown Circle, Littleton, CO 80120","$1,295,000 ",https://www.zillow.com/homedetails/7252-S-Sundown-Cir-Littleton-CO-80120/13165252_zpid/,"Price cut: $30,000 (Aug 16) From 2023-08-23","5 bds4 ba5,679 sqft"
"6505 Warriors Run, Littleton, CO 80125","$1,525,000 ",https://www.zillow.com/homedetails/6505-Warriors-Run-Littleton-CO-80125/13488473_zpid/,3D Tour From 2023-08-23,"5 bds4 ba6,516 sqft"
"8855 Swan River Street, Littleton, CO 80125","$903,950 ",https://www.zillow.com/homedetails/8855-Swan-River-St-Littleton-CO-80125/331677602_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"5 bds4 ba4,129 sqft"
"7227 S Newland Street, Littleton, CO 80128","$1,100,000 ",https://www.zillow.com/homedetails/7227-S-Newland-St-Littleton-CO-80128/13823849_zpid/,"Price cut: $25,000 (Aug 3) From 2023-08-23","6 bds4 ba3,758 sqft"
"8522 S Miller Court, Littleton, CO 80127","$825,000 ",https://www.zillow.com/homedetails/8522-S-Miller-Ct-Littleton-CO-80127/13844311_zpid/,"Price cut: $24,900 (Aug 10) From 2023-08-23","5 bds4 ba3,528 sqft"
"11053 Bright Sky Circle, Littleton, CO 80125","$1,032,125 ",https://www.zillow.com/homedetails/11053-Bright-Sky-Cir-Littleton-CO-80125/331683816_zpid/,43 days on Zillow From 2023-08-23,"4 bds3 ba5,067 sqft"
"8101 Adams Fork Avenue, Littleton, CO 80125","$890,000 ",https://www.zillow.com/homedetails/8101-Adams-Fork-Ave-Littleton-CO-80125/300015581_zpid/,44 days on Zillow From 2023-08-23,"5 bds3 ba3,621 sqft"
"Fairfield Plan, Sterling Ranch Apex Collection","$604,990+",https://www.zillow.com/community/sterling-ranch-apex-collection/2060271183_zpid/,Open: M:10AM-6PM;Tu:10A... From 2023-08-23,"4 bds4 ba2,291 sqft"
"248 W Jamison Court, Littleton, CO 80120","$699,000 ",https://www.zillow.com/homedetails/248-W-Jamison-Ct-Littleton-CO-80120/247467179_zpid/,3D Tour From 2023-08-23,"4 bds4 ba2,276 sqft"
"520 E Fremont Place, Centennial, CO 80122","$769,500 ",https://www.zillow.com/homedetails/520-E-Fremont-Pl-Centennial-CO-80122/247460639_zpid/,47 days on Zillow From 2023-08-23,"4 bds3 ba2,968 sqft"
"7190 S Prince Street, Littleton, CO 80120","$2,499,000 ",https://www.zillow.com/homedetails/7190-S-Prince-St-Littleton-CO-80120/99644431_zpid/,48 days on Zillow From 2023-08-23,"4 bds3 ba3,831 sqft"
"1590 W Briarwood Avenue, Littleton, CO 80120","$650,000 ",https://www.zillow.com/homedetails/1590-W-Briarwood-Ave-Littleton-CO-80120/13166106_zpid/,"Price cut: $25,000 (Aug 10) From 2023-08-23","5 bds4 ba3,333 sqft"
"8801 Swan River Street, Littleton, CO 80125","$873,950 ",https://www.zillow.com/homedetails/8801-Swan-River-St-Littleton-CO-80125/331677614_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"5 bds5 ba4,746 sqft"
"6516 W Long Drive, Littleton, CO 80123","$1,250,000 ",https://www.zillow.com/homedetails/6516-W-Long-Dr-Littleton-CO-80123/13812257_zpid/,49 days on Zillow From 2023-08-23,"4 bds3 ba4,152 sqft"
"8008 Adams Fork Avenue, Littleton, CO 80125","$735,000 ",https://www.zillow.com/homedetails/8008-Adams-Fork-Ave-Littleton-CO-80125/300014038_zpid/,"Price cut: $15,000 (Aug 2) From 2023-08-23","4 bds4 ba3,598 sqft"
"8092 Mt. Princeton Street, Littleton, CO 80125","$660,000 ",https://www.zillow.com/homedetails/8092-Mount-Princeton-St-Littleton-CO-80125/2056604463_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds2 ba2,701 sqft"
"8885 Swan River Street, Littleton, CO 80125","$799,950 ",https://www.zillow.com/homedetails/8885-Swan-River-St-Littleton-CO-80125/331677699_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"4 bds4 ba3,860 sqft"
"11373 W San Juan Range Road, Littleton, CO 80127","$685,000 ",https://www.zillow.com/homedetails/11373-San-Juan-Range-Rd-Littleton-CO-80127/13831984_zpid/,52 days on Zillow From 2023-08-23,"2 bds3 ba2,248 sqft"
"7314 S Crescent Drive, Littleton, CO 80120","$974,999 ",https://www.zillow.com/homedetails/7314-S-Crescent-Dr-Littleton-CO-80120/13167160_zpid/,"Price cut: $15,000 (Aug 10) From 2023-08-23","4 bds3 ba3,536 sqft"
"6281 W Arbor Avenue, Littleton, CO 80123","$740,000 ",https://www.zillow.com/homedetails/6281-W-Arbor-Ave-Littleton-CO-80123/13822676_zpid/,"Price cut: $10,000 (Aug 3) From 2023-08-23","4 bds3 ba2,737 sqft"
"8477 Arriba Drive, Littleton, CO 80125","$704,990 ",https://www.zillow.com/homedetails/8477-Arriba-Dr-Littleton-CO-80125/2056809024_zpid/,Open: Monday - Saturday... From 2023-08-23,"4 bds3 ba2,588 sqft"
"6871 S Prince Circle, Littleton, CO 80120","$775,000 ",https://www.zillow.com/homedetails/6871-S-Prince-Cir-Littleton-CO-80120/13166747_zpid/,"Price cut: $24,900 (Aug 17) From 2023-08-23","5 bds4 ba2,622 sqft"
"7317 W Fremont Drive, Littleton, CO 80128","$599,000 ",https://www.zillow.com/homedetails/7317-W-Fremont-Dr-Littleton-CO-80128/13825994_zpid/,20 days on Zillow From 2023-08-23,"4 bds2 ba1,848 sqft"
"9824 Falcon Lane, Littleton, CO 80125","$577,000 ",https://www.zillow.com/homedetails/9824-Falcon-Ln-Littleton-CO-80125/55814479_zpid/,20 days on Zillow From 2023-08-23,"4 bds3 ba2,300 sqft"
"4681 W Hanoverian Way, Littleton, CO 80128","$3,999,999 ",https://www.zillow.com/homedetails/4681-W-Hanoverian-Way-Littleton-CO-80128/99661236_zpid/,3D Tour From 2023-08-23,"6 bds8 ba8,355 sqft"
"5804 W Rowland Place, Littleton, CO 80128","$699,000 ",https://www.zillow.com/homedetails/5804-W-Rowland-Pl-Littleton-CO-80128/13824059_zpid/,3D Tour From 2023-08-23,"4 bds3 ba2,295 sqft"
"7493 S Quail Circle Unit 933, Littleton, CO 80127","$390,500 ",https://www.zillow.com/homedetails/7493-S-Quail-Cir-APT-933-Littleton-CO-80127/61477189_zpid/,21 days on Zillow From 2023-08-23,"2 bds2 ba1,035 sqft"
"8331 S Cody Way, Littleton, CO 80128","$685,000 ",https://www.zillow.com/homedetails/8331-S-Cody-Way-Littleton-CO-80128/334526583_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds2 ba2,612 sqft"
"8372 S Cody Way, Littleton, CO 80128","$742,900 ",https://www.zillow.com/homedetails/8372-S-Cody-Way-Littleton-CO-80128/337566435_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds2 ba3,357 sqft"
"8362 S Cody Way, Littleton, CO 80128","$782,900 ",https://www.zillow.com/homedetails/8362-S-Cody-Way-Littleton-CO-80128/337566501_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds2 ba3,828 sqft"
"8506 S Coco Avenue, Littleton, CO 80128","$790,000 ",https://www.zillow.com/homedetails/8506-W-Coco-Ave-Littleton-CO-80128/2056178282_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"3 bds3 ba4,334 sqft"
"8186 Maple Drive, Littleton, CO 80125","$760,000 ",https://www.zillow.com/homedetails/8186-Maple-Dr-Littleton-CO-80125/13434370_zpid/,3D Tour From 2023-08-23,"4 bds3 ba3,317 sqft"
"8115 Mount Ouray Road, Littleton, CO 80125","$839,500 ",https://www.zillow.com/homedetails/8115-Mount-Ouray-Rd-Littleton-CO-80125/331683932_zpid/,3D Tour From 2023-08-23,"4 bds4 ba4,119 sqft"
"8329 S Independence Circle Unit 204, Littleton, CO 80128","$409,900 ",https://www.zillow.com/homedetails/8329-S-Independence-Cir-UNIT-204-Littleton-CO-80128/51408605_zpid/,3D Tour From 2023-08-23,2 bds2 ba997 sqft
"8917 Swan River Street, Littleton, CO 80125","$828,950 ",https://www.zillow.com/homedetails/8917-Swan-River-St-Littleton-CO-80125/331677664_zpid/,Open: M: 10:00 AM-6:00 ... From 2023-08-23,"5 bds3 ba3,874 sqft"
"Irvington Plan, Village Cooperative of Chatfield (Active Adults 62+)","$285,000+",https://www.zillow.com/community/village-cooperative-of-chatfield-active-adults-62/2080863147_zpid/,Open: M: 9:00 AM-5:00 P... From 2023-08-23,"2 bds2 ba1,568 sqft"
"6425 W Leawood Drive, Littleton, CO 80123","$625,000 ",https://www.zillow.com/homedetails/6425-W-Leawood-Dr-Littleton-CO-80123/13822370_zpid/,23 days on Zillow From 2023-08-23,"4 bds3 ba2,527 sqft"
"6250 W Maplewood Place, Littleton, CO 80123","$599,000 ",https://www.zillow.com/homedetails/6250-W-Maplewood-Pl-Littleton-CO-80123/13822623_zpid/,3D Tour From 2023-08-23,"5 bds4 ba2,486 sqft"
"8017 Galileo Way, Littleton, CO 80125","$3,750,000 ",https://www.zillow.com/homedetails/8017-Galileo-Way-Littleton-CO-80125/108394346_zpid/,26 days on Zillow From 2023-08-23,"5 bds6 ba6,013 sqft"
"7558 S Holland Court, Littleton, CO 80128","$584,900 ",https://www.zillow.com/homedetails/7558-S-Holland-Ct-Littleton-CO-80128/13832862_zpid/,"Price cut: $5,000 (Aug 18) From 2023-08-23","4 bds2 ba2,638 sqft"
"5683 S Lowell Boulevard, Littleton, CO 80123","$415,000 ",https://www.zillow.com/homedetails/5683-S-Lowell-Blvd-Littleton-CO-80123/13154222_zpid/,26 days on Zillow From 2023-08-23,"3 bds4 ba2,194 sqft"
"6425 Warriors Run, Littleton, CO 80125","$895,000 ",https://www.zillow.com/homedetails/6425-Warriors-Run-Littleton-CO-80125/13488478_zpid/,"Price cut: $130,000 (Aug 10) From 2023-08-23","3 bds4 ba4,711 sqft"
"4243 W Pondview Place, Littleton, CO 80123","$940,000 ",https://www.zillow.com/homedetails/4243-W-Pondview-Pl-Littleton-CO-80123/13154290_zpid/,"Price cut: $10,000 (Aug 23) From 2023-08-23","4 bds3 ba2,556 sqft"
"7971 S Cedar Street, Littleton, CO 80120","$665,000 ",https://www.zillow.com/homedetails/7971-S-Cedar-St-Littleton-CO-80120/13168821_zpid/,3D Tour From 2023-08-23,"4 bds3 ba2,357 sqft"
"505 Rangeview Drive, Littleton, CO 80120","$2,795,000 ",https://www.zillow.com/homedetails/505-Rangeview-Dr-Littleton-CO-80120/98324057_zpid/,"Price cut: $105,000 (Aug 8) From 2023-08-23","5 bds6 ba5,697 sqft"
"7460 S Wolff Street, Littleton, CO 80128","$1,260,000 ",https://www.zillow.com/homedetails/7460-S-Wolff-St-Littleton-CO-80128/13167792_zpid/,"Price cut: $40,000 (Aug 15) From 2023-08-23","4 bds4 ba4,852 sqft"
"7511 Bison Place, Littleton, CO 80125","$800,000 ",https://www.zillow.com/homedetails/7511-Bison-Pl-Littleton-CO-80125/52461070_zpid/,"Price cut: $20,000 (Aug 23) From 2023-08-23","4 bds3 ba3,860 sqft"
"9040 W Portland Avenue, Littleton, CO 80128","$659,000 ",https://www.zillow.com/homedetails/9040-W-Portland-Ave-Littleton-CO-80128/13826481_zpid/,"Price cut: $20,000 (Aug 20) From 2023-08-23","4 bds3 ba2,248 sqft"
"7413 S Quail Circle Unit 1417, Littleton, CO 80127","$379,000 ",https://www.zillow.com/homedetails/7413-S-Quail-Cir-APT-1417-Littleton-CO-80127/61477099_zpid/,29 days on Zillow From 2023-08-23,2 bds1 ba963 sqft
"Chelton Plan, Sterling Ranch : Monarch Collection Prospect Village II","$812,900+",https://www.zillow.com/community/sterling-ranch-monarch-collection-prospect-village-ii/2063216853_zpid/,Open: Mon 1-6 ; Tue 10-... From 2023-08-23,"4 bds4 ba2,724 sqft"
